punishment	罰
chronic	慢性的な
bare	裸の
conception	概念
grand	壮大な
lover	恋人
endure	耐える
bird	鳥
acute	鋭い
advocate	支持する
forgive	許す
involvement	関与
reputation	評判
captain	船長
permanent	永続的な
destruction	破壊
helpful	役に立つ
corporation	法人
rough	粗い
pulling	引くこと
curse	呪い
softly	優しく
angel	天使
crazy	狂った
tour	旅行
folk	人々
massive	巨大な
welfare	福祉
plastic	プラスチック
graduate	卒業する
electric	電気の
loose	緩い
license	免許
disability	障害
commission	委員会
holy	神聖な
curious	好奇心旺盛な
anywhere	どこでも
potentially	潜在的に
friendship	友情
southern	南の
beast	獣
correlation	相関
regret	後悔
instrument	楽器
prince	王子
achievement	達成
elect	選ぶ
circuit	回路
scatter	散らす
array	配列
sensor	センサー
retreat	撤退
pitch	投げる
surely	確かに
wooden	木製の
elite	エリート
racial	人種の
legislation	立法
democratic	民主的な
maintenance	維持
sale	販売
glory	栄光
fix	修理する
realm	領域
web	ウェブ
fiber	繊維
react	反応する
analyze	分析する
northern	北の
faint	かすかな
whisper	ささやく
minor	小さい
loop	ループ
award	賞
disaster	災害
classical	古典的な
weakness	弱さ
diet	食事
essay	エッセイ
excuse	言い訳
royal	王室の
pump	ポンプ
shade	日陰
frequent	頻繁な
elsewhere	他の場所で
motivation	動機
discharge	排出する
uncle	おじ
lord	主
cooperation	協力
undergo	経験する
shame	恥
crown	王冠
fairly	かなり
transmission	送信
fracture	骨折
hang	吊るす
musical	音楽の
migration	移住
prime	最重要な
dimension	寸法
comprehensive	包括的な
pipe	管
valley	谷
interact	交流する
ritual	儀式
neighborhood	近所
poetry	詩
paragraph	段落
meeting	会議
mad	怒っている
cousin	いとこ
flower	花
propose	提案する
oral	口頭の
fortune	運
beer	ビール
orientation	オリエンテーション
suspect	疑う
nearby	近くの
employ	雇う
confirm	確認する
plenty	たくさん
favour	好意
pause	一時停止
inform	知らせる
graph	グラフ
anxious	心配している
raw	生の
intent	意図
emphasize	強調する［=emphasize］〈アメリカ英語〉
predict	予測する
confusion	混乱
forehead	額
pop	ポップ
mess	混乱状態
steam	蒸気
normally	通常
draft	草案
successfully	うまく
slope	斜面
para	〜に関して
prediction	予測
multi	多くの
withdraw	撤退する
fist	拳
glow	輝き
fancy	豪華な
velocity	速度
initially	最初に
seal	封印
giant	巨大な
divide	分割する
virus	ウイルス
item	項目
manifest	明らかな
organizational	組織の［=organisational］〈アメリカ英語〉
stupid	愚かな
guidance	指導
mask	マスク
leap	跳躍
chicken	鶏
lovely	かわいい
boundary	境界
expensive	高価な
courage	勇気
und	そして〈ドイツ語〉
empirical	経験的な
decade	10年間
inequality	不平等
venture	冒険
talent	才能
whenever	〜するときはいつでも
crystal	水晶
boss	上司
shit	くそ
tribe	部族
emerge	現れる
western	西洋の
email	電子メール
routine	日課
prospect	見通し
medication	薬
pot	鍋
vital	非常に重要な
administrative	行政の
jurisdiction	管轄権
