nevertheless	それでもなお
aggregate	合計
jury	陪審
ecosystem	生態系
skirt	スカート
mature	成熟した
interfere	干渉する
integral	不可欠な
trigger	引き金
autonomy	自治
robot	ロボット
grid	格子
despair	絶望
infinite	無限の
gear	装置
plaintiff	原告
midst	最中
sorrow	悲しみ
pit	穴
whip	むち
hormone	ホルモン
plasma	血漿
objection	異議
bath	入浴
proceeding	手続き
instinct	本能
bloody	血まみれの
ministry	省
thesis	論文
practically	ほとんど
productive	生産的な
partially	部分的に
exclude	除外する
throne	王位
dive	飛び込む
chip	破片
halt	停止
concentrate	集中する
horizontal	水平の
strive	努力する
fleet	艦隊
mild	穏やかな
nest	巣
birthday	誕生日
purple	紫色
quantum	量子
rid	取り除く
automatically	自動的に
mighty	強大な
derive	引き出す
scarcely	ほとんど〜ない
bark	吠える
faithful	忠実な
sketch	スケッチ
patent	特許
thickness	厚さ
hybrid	混成の
miracle	奇跡
qualitative	質的な
cotton	綿
remedy	治療法
finite	有限の
tense	緊張した
bore	退屈させる
resort	保養地
anchor	錨
observer	観察者
flexible	柔軟な
em	〜を［=them］（口語）
exploration	探検
pole	棒
spine	背骨
sip	一口
quantitative	量的な
doorway	入口
seemingly	一見
nowhere	どこにも〜ない
shortly	まもなく
celebrate	祝う
informal	非公式の
beneficial	有益な
magnitude	大きさ
trunk	幹
citizen	市民
disadvantage	不利
actively	積極的に
deviation	逸脱
writing	書くこと
football	サッカー
bubble	泡
actor	俳優
brick	レンガ
expose	さらす
therapist	治療者
analytical	分析的な
warmth	暖かさ
invisible	見えない
belly	腹部
corruption	腐敗
substrate	基盤
toy	おもちゃ
elderly	高齢の
mysterious	神秘的な
portrait	肖像画
penalty	罰則
economics	経済学
adverse	逆の
intelligent	知的な
silk	絹
strand	一本の糸
consensus	合意
dependence	依存
conscience	良心
oh	ああ
adapt	適応する
invitation	招待
statue	像
probe	探査
emergence	出現
accomplish	達成する
civilian	民間人
warrant	保証
pig	豚
fulfill	果たす
subtle	微妙な
twist	ねじる
shiver	震える
ton	トン
hunt	狩る
sampling	標本採取
symbolic	象徴的な
controlling	制御する
commodity	商品
wealthy	裕福な
sustainability	持続可能性
genius	天才
verify	確認する
specify	明確にする
deficiency	欠乏
efficacy	効力
inherent	固有の
maid	メイド
romantic	ロマンチックな
protective	保護する
reception	受付
invasion	侵略
passive	受動的な
civilization	文明［=civilisation］〈アメリカ英語〉
operational	操作上の
extraction	抽出
copper	銅
oxide	酸化物
corridor	廊下
cheer	歓声
awful	ひどい
undermine	弱める
metric	測定基準
generous	寛大な
repeatedly	繰り返し
diagnostic	診断の
bold	大胆な
excessive	過度の
tourism	観光
fatigue	疲労
rifle	ライフル
absorption	吸収
scholarship	奨学金
correctly	正しく
entertain	楽しませる
injection	注射
photograph	写真
cruel	残酷な
terminal	末期の
imply	ほのめかす
cord	ひも
estimation	見積もり
candle	ろうそく
sofa	ソファ
optical	視覚の
ambition	野望
accessible	アクセス可能な
purely	純粋に
dull	退屈な
complain	不平を言う
competence	能力
deficit	赤字
exclusive	排他的な
illegal	違法な
salvation	救済
robe	ローブ
semi	半分の
loyalty	忠誠
whilst	〜する間に
translate	翻訳する
peculiar	独特の
solely	単独で
replacement	交換
dense	密集した
validity	有効性
similarly	同様に
bush	茂み
hydrogen	水素
workshop	工房
pollution	汚染
submit	提出する
comply	従う
realised	気づいた
uncertain	不確かな
clue	手がかり
cough	咳
funeral	葬式
artistic	芸術的な
inevitable	避けられない
bunch	束
donor	提供者
intermediate	中間の
signature	署名
feminist	フェミニスト
isolation	孤立
rival	ライバル
static	静的な
tolerance	寛容
purse	財布
clarify	明らかにする
tract	区域
anybody	誰でも
honey	はちみつ
fierce	激しい
chocolate	チョコレート
furniture	家具
scar	傷跡
swallow	飲み込む
revelation	啓示
projection	予測
peaceful	平和な
subjective	主観的な
bay	湾
verbal	言葉の
humble	謙虚な
utilize	利用する
optimization	最適化
flour	小麦粉
studio	スタジオ
disgust	嫌悪
pussy	猫|女性器の俗称
width	幅
pet	ペット
manual	手動の
penetrate	貫通する
dirt	汚れ
drill	ドリル
designer	デザイナー
enthusiasm	熱意
upstairs	上階
vulnerability	脆弱性
likelihood	可能性
arrange	手配する
posterior	後部の
safely	安全に
campus	キャンパス
diabetes	糖尿病
marine	海洋の
steer	舵を取る
conservation	保護
insult	侮辱
menu	メニュー
spy	スパイ
assure	保証する
supplement	補足
query	質問
minimal	最小限の
salary	給料
inferior	劣った
mathematics	数学
weird	奇妙な
kindness	親切
meaning	意味
attraction	魅力
prize	賞
basket	かご
quit	やめる
prejudice	偏見
sleeve	袖
harsh	厳しい
glimpse	ちらりと見る
lifestyle	生活様式
alike	似ている
valve	弁
indirect	間接的な
literacy	識字能力
corn	とうもろこし
screw	ネジ
displacement	移動
boil	沸騰する
cable	ケーブル
swing	揺れる
bulk	大部分
spark	火花
useless	無駄な
justification	正当化
ecological	生態学の
handling	取り扱い
copyright	著作権
keen	熱心な
ash	灰
dollar	ドル
recipe	レシピ
ideological	イデオロギーの
buyer	買い手
systemic	体系的な
beloved	愛する
fake	偽物
airport	空港
reporter	記者
breed	繁殖する
demonstration	デモ
exclusively	排他的に
hip	腰
admission	入場
fantasy	空想
accommodate	収容する
capitalism	資本主義
blast	爆発
developmental	発達の
forest	森
gang	ギャング
variance	分散
prisoner	囚人
lease	賃貸契約
vain	無駄な
degradation	悪化
inspiration	ひらめき
ugly	醜い
silently	静かに
abandon	放棄する
exam	試験
inspection	検査
inventory	在庫
endless	終わりのない
rail	レール
patience	忍耐
legislative	立法の
reinforce	強化する
lightning	稲妻
gross	総計の
rebel	反逆者
bolt	ボルト
inter	埋葬する
teaspoon	小さじ
alien	宇宙人|外国の
concert	コンサート
immigration	移民
circular	円形の
incidence	発生率
strictly	厳しく
loudly	大声で
singular	単数の|特異な
sovereign	主権者
reside	居住する
surge	急増
hallway	廊下
virtually	実質的に
influential	影響力のある
lonely	孤独な
aggressive	攻撃的な
trajectory	軌道
considerably	かなり
forecast	予報
nucleus	核
killer	殺人者
spit	つばを吐く
frustration	欲求不満
anterior	前部の
horn	角
ban	禁止する
dwell	住む
void	空虚
collar	襟
adjacent	隣接した
portfolio	ポートフォリオ
spray	噴霧
gratitude	感謝
tragedy	悲劇
accumulation	蓄積
capitalist	資本家
relevance	関連性
fry	揚げる
diffusion	拡散
inhibit	抑制する
steep	急な
rejection	拒否
workplace	職場
inspire	奮起させる
wholly	完全に
medieval	中世の
legacy	遺産
damp	湿った
hazard	危険
beard	あごひげ
breeze	そよ風
glucose	ブドウ糖
triumph	勝利
interference	干渉
swim	泳ぐ
creativity	創造性
gravity	重力
diamond	ダイヤモンド
desirable	望ましい
founder	創設者
blush	赤面する
onset	始まり
innovative	革新的な
circulation	循環
railway	鉄道
correspondence	通信
jail	刑務所
broadcast	放送する
olive	オリーブ
sauce	ソース
prompt	迅速な
flexibility	柔軟性
dread	恐怖
squeeze	絞る
subordinate	部下
evidently	明らかに
mud	泥
