nurse	看護師
fellow	仲間
external	外部の
sequence	連続
telling	話すこと
island	島
recognize	認識する［=recognise］〈アメリカ英語〉
interpretation	解釈
treat	扱う
relatively	比較的
fail	失敗する
notion	概念
evil	悪
solve	解決する
quick	速い
fresh	新鮮な
credit	信用
vote	投票する
sweet	甘い
university	大学
enhance	高める
writer	作家
dare	あえて〜する
bond	絆
card	カード
ball	ボール
birth	誕生
wine	ワイン
suit	似合う
topic	話題
camp	キャンプ
branch	枝
prior	前の
despite	にもかかわらず
cloud	雲
weak	弱い
bright	明るい
decide	決める
scientific	科学的な
square	四角
conclusion	結論
core	核心
pull	引く
engage	従事する
agree	同意する
nice	良い
coffee	コーヒー
evaluation	評価
yield	産出する
smoke	煙
host	主催する
forth	前方に
journey	旅
urban	都市の
plate	皿
comparison	比較
encounter	遭遇する
manager	管理者
merely	単に
god	神
judgment	判断
truly	本当に
familiar	よく知っている
danger	危険
input	入力
till	〜まで
proper	適切な
vehicle	乗り物
mention	言及する
entirely	完全に
gene	遺伝子
creation	創造
wild	野生の
output	出力
contribution	貢献
college	短大
cast	投げる
carefully	注意深く
ratio	比率
spiritual	精神的な
expert	専門家
aid	助ける
opposite	反対の
chemical	化学の
mission	使命
assess	評価する
crisis	危機
unless	〜でなければ
algorithm	アルゴリズム
evaluate	評価する
tongue	舌
refer	言及する
curve	曲線
debate	討論
trace	跡
thin	細い
cheek	頬
origin	起源
copy	コピーする
trip	旅行
border	境界
ahead	前方に
victim	被害者
season	季節
realize	気づく
stream	小川
examine	調べる
possess	所有する
reform	改革する
explanation	説明
background	背景
youth	若さ
emotional	感情的な
domestic	国内の
chief	主要な
band	バンド
recall	思い出す
thick	厚い
leadership	指導力
channel	チャンネル
overall	全体の
heaven	天国
estimate	見積もる
domain	領域
element	要素
proceed	進む
demonstrate	示す
association	協会
handle	扱う
ice	氷
shadow	影
profit	利益
beauty	美しさ
unique	独特の
rank	順位
leader	リーダー
appeal	訴える
north	北
civil	市民の
prepare	準備する
recently	最近
reduction	削減
anti	反〜
fruit	果物
servant	召使い
programme	プログラム
occasion	機会
ourselves	私たち自身
centre	中心
roll	転がる
noise	騒音
infection	感染
calm	落ち着いた
frequently	頻繁に
usual	通常の
rely	頼る
sufficient	十分な
election	選挙
anger	怒り
murder	殺人
practical	実用的な
phenomenon	現象
investigation	調査
digital	デジタルの
hole	穴
survive	生き残る
measurement	測定
hall	ホール
smell	匂い
breast	胸
plane	飛行機
gate	門
campaign	キャンペーン
transport	輸送
academic	学問の
obvious	明らかな
depth	深さ
unable	できない
decline	減少する
consumer	消費者
coat	コート
solid	固体の
pocket	ポケット
intention	意
en	〜の中に〈フランス語〉|〜させる（接頭辞）|〜にする（接頭辞）
brown	茶色の
eventually	最終的に
regular	規則的な
assumption	仮定
loud	うるさい
document	文書
slave	奴隷
ideal	理想的な
remove	取り除く
cool	涼しい
stuff	物
hell	地獄
afternoon	午後
constitute	構成する
artist	芸術家
throat	喉
confidence	自信
sink	沈む
suppose	思う
sir	〜さん
index	索引
somewhat	やや
president	大統領
angry	怒った
label	ラベル
south	南
previously	以前に
transition	移行
scheme	計画
generate	生成する
criminal	犯罪者
perception	知覚
glance	ちらりと見る
brief	短い
finger	指
publication	出版物
joint	関節
okay	大丈夫
colour	色
typically	典型的に
pack	包む
administration	管理
payment	支払い
respectively	それぞれ
improvement	改善
shut	閉める
participate	参加する
climate	気候
rain	雨
sword	剣
video	映像
cent	セント
acknowledge	認める
absence	欠席
silent	静かな
entity	実体
philosophy	哲学
matrix	マトリックス
medium	中間
mostly	主に
fundamental	基本的な
route	経路
investigate	調査する
hotel	ホテル
angle	角度
tall	高い
platform	プラットフォーム
equipment	装置
tear	涙
definitely	確かに
alive	生きている
apart	離れて
employment	雇用
seed	種
prayer	祈り
contemporary	現代の
beneath	〜の下に
industrial	工業の
variation	変化
strain	緊張
commercial	商業の
lesson	授業
nose	鼻
hardly	ほとんど〜ない
inch	インチ
pure	純粋な
co	会社［companyの略］
joy	喜び
flash	閃光
sum	合計
wash	洗う
comfort	快適さ
driver	運転手
selection	選択
salt	塩
operate	操作する
sharp	鋭い
formal	正式な
federal	連邦の
tea	お茶
technique	技術
tool	道具
dependent	依存した
behaviour	行動
iron	鉄
substance	物質
pray	祈る
department	部門
welcome	歓迎する
extend	延長する
fashion	流行
debt	借金
flat	平らな
permission	許可
favor	好意
recognition	認識
probability	確率
significantly	著しく
hill	丘
household	世帯
tip	先端
delay	遅れ
shirt	シャツ
pre	前の
arrangement	取り決め
possibly	おそらく
discourse	論説
bridge	橋
observe	観察する
relief	安心
stick	棒
creature	生き物
highlight	強調する
technical	技術的な
maximum	最大の
transformation	変化
row	列
vessel	船
preserve	保存する
mainly	主に
foundation	基礎
largely	大部分は
famous	有名な
column	柱
meal	食事
bottle	瓶
ordinary	普通の
zone	区域
busy	忙しい
harm	害
sheet	シーツ
exposure	曝露
winter	冬
teach	教える
divine	神聖な
whereas	〜である一方で
false	偽りの
component	部品
innovation	革新
pursue	追求する
severe	厳しい
glad	嬉しい
native	先住の
portion	部分
division	分割
representative	代表者
consumption	消費
compare	比較する
anxiety	不安
abuse	虐待
closely	密接に
quarter	4分の1
director	監督
skill	技術
translation	翻訳
desk	机
entry	入場
intellectual	知的な
implementation	実行
consciousness	意識
counter	反対の
cognitive	認知の
gap	隔たり
competition	競争
efficiency	効率
introduce	紹介する
yellow	黄色
dangerous	危険な
feed	与える
fun	楽しみ
thou	あなた（古語）
tight	きつい
silver	銀
prison	刑務所
aside	わきへ
intelligence	知能
height	高さ
increasingly	ますます
healthy	健康的な
regime	政権
node	節点
necessarily	必ずしも
density	密度
library	図書館
nerve	神経
deeply	深く
habit	習慣
theme	テーマ
finish	終わる
peer	同僚
ground	地面
grade	等級
engagement	約束
fuel	燃料
shoot	撃つ
