identify	識別する
completely	完全に
edge	端|縁
store	店
perspective	観点
agent	代理人
critical	重大な|批判的な
train	訓練する|電車
slowly	ゆっくり
thank	感謝する
normal	普通の
distribution	配分
length	長さ
user	利用者
guy	男性
reaction	反応
firm	会社|堅い
success	成功
foreign	外国の
prevent	防ぐ
volume	量|音量
professional	専門的な|プロの
signal	信号
enter	入る
exercise	運動|練習
strange	奇妙な
conflict	衝突|対立
connection	つながり
ring	指輪|鳴る
contract	契約
message	メッセージ
box	箱
file	ファイル|記録
chair	椅子
block	塊|妨げる
conversation	会話
aim	目的|狙う
struggle	苦闘する
lose	失う|負ける
average	平均
interaction	交流
status	状態|地位
detail	詳細
trouble	困難|問題
global	世界的な
news	ニュース
previous	前の
female	女性
central	中央の
easily	容易に
balance	バランス|均衡
la	その（女性名詞単数冠詞）〈フランス語〉
negative	否定的な|負の
gaze	じっと見る
safe	安全な
procedure	手続き
command	命令
hot	熱い|激しい
duty	義務
scene	場面|現場
official	公式の|職員
transfer	移す|転勤
ensure	確実にする
appropriate	適切な
require	要求する
stone	石
hit	打つ|ヒット
opinion	意見
income	収入
recent	最近の
baby	赤ちゃん
laugh	笑う
lady	女性|婦人
imagine	想像する
heavy	重い
capacity	能力|容量
thought	思考|考え
device	装置
warm	暖かい
importance	重要性
nearly	ほぼ
master	主人|習得する
ear	耳
re	再び|〜に関して
rock	岩|揺れる
economy	経済
dry	乾いた
medical	医療の
option	選択肢
former	前の|元の
primary	主要な
multiple	複数の
exchange	交換
sit	座る
spread	広げる|広がる
damage	損害
code	コード|規則
belief	信念
assessment	評価
generation	世代
expect	期待する
male	男性
throughout	至る所で
pretty	かなり|かわいい
board	板
travel	旅行する
adult	大人
article	記事
contrast	対比
mass	塊
respond	応答する
basic	基本的な
belong	属する
corner	角
advantage	利点
speed	速さ
except	〜を除いて
possibility	可能性
failure	失敗
trial	試み
mechanism	仕組み
rich	裕福な
faith	信頼
guide	案内する
investment	投資
exactly	正確に
shot	撃つこと
fish	魚
event	出来事
slow	遅い
moral	道徳的な
responsibility	責任
spot	場所
clean	きれいな
agreement	合意
sight	視界
equal	等しい
judge	判断する
spend	費やす
throw	投げる
literature	文学
worker	労働者
argue	議論する
interview	面接
student	学生
client	顧客
map	地図
enemy	敵
escape	逃げる
location	場所
perfect	完全な
traditional	伝統的な
fully	完全に
cry	泣く
number	数
ride	乗る
highly	非常に
serious	深刻な
river	川
sun	太陽
style	様式
doctor	医者
active	活発な
ill	病気の
machine	機械
chest	胸
staff	職員
tend	〜しがちである
contribute	貢献する
soft	柔らかい
certainly	確かに
member	会員
foot	足
base	基礎
root	根
discuss	議論する
whatever	何でも
powerful	強力な
speech	演説
broad	広い
load	荷物
raise	上げる
cup	杯
perform	行う
peace	平和
promote	促進する
relative	親戚
protein	タンパク質
bar	棒
acid	酸
straight	まっすぐな
enable	可能にする
village	村
dance	踊る
request	要求
additional	追加の
encourage	励ます
shock	衝撃
existence	存在
frame	枠
display	表示する
mental	精神の
battle	戦い
freedom	自由
variety	種類
decrease	減少する
sex	性別
hurt	傷つける
version	版
useful	役に立つ
correct	正しい
protection	保護
vary	変わる
neck	首
historical	歴史的な
track	跡
secret	秘密
marriage	結婚
definition	定義
hospital	病院
error	誤り
construction	建設
afraid	怖い
gas	ガス
reader	読者
factor	要因
farm	農場
sector	部門
hide	隠す
objective	目的
crowd	群衆
latter	後者
pair	一対
maybe	多分
count	数える
shop	店
beat	打つ
crime	犯罪
mountain	山
drop	落ちる
relevant	関連した
relation	関係
benefit	利益
match	試合
guard	守る
admit	認める
arise	生じる
sentence	文
wood	木材
tradition	伝統
vision	視覚
explore	探検する
extent	程度
slightly	わずかに
framework	枠組み
build	建てる
initial	最初の
bone	骨
army	軍隊
tone	音色
alternative	代替
soil	土壌
guess	推測する
worth	価値がある
spring	泉
daily	毎日の
agency	代理店
tax	税金
silence	沈黙
motion	動き
religion	宗教
popular	人気のある
difficulty	困難
justice	正義
partner	パートナー
neither	どちらも〜ない
station	駅
screen	画面
blow	打撃
internal	内部の
park	公園
print	印刷する
link	つなぐ
mark	印
computer	コンピュータ
narrative	物語
essential	不可欠な
progress	進歩
environmental	環境の
safety	安全
aware	気づいている
assume	仮定する
chain	鎖
constant	一定の
bottom	底
define	定義する
establish	設立する
independent	独立した
experiment	実験
month	月
circle	円
labor	労働
mode	方法
sky	空
attitude	態度
waste	無駄
obtain	得る
metal	金属
title	題名
score	得点
violence	暴力
dynamic	動的な
sorry	ごめんなさい
impossible	不可能な
double	二倍の
collection	収集
witness	目撃者
reveal	明らかにする
matter	問題
miss	逃す
gold	金
actual	実際の
disorder	混乱
quiet	静かな
successful	成功した
feature	特徴
strike	打つ
gun	銃
pleasure	喜び
gender	性別
bag	かばん
intervention	介入
kitchen	台所
song	歌
fair	公平な
regulation	規則
cancer	がん
appearance	外見
formation	形成
muscle	筋肉
dear	親愛なる
summer	夏
otherwise	さもなければ
capture	捕まえる
empty	空の
equation	方程式
concentration	集中
consideration	考慮
extremely	非常に
dinner	夕食
gift	贈り物
clinical	臨床の
ancient	古代の
via	〜を通って
huge	巨大な
description	説明
therapy	治療
push	押す
none	誰も〜ない
novel	小説
audience	観客
online	オンラインの
injury	けが
attend	出席する
frequency	頻度
pick	選ぶ
observation	観察
cycle	周期
resistance	抵抗
representation	表現
politics	政治
hate	嫌う
animal	動物
catch	捕まえる
sexual	性的な
wake	目覚める
purchase	購入する
stock	株
survey	調査
taste	味
win	勝つ
threat	脅威
manage	管理する
boat	ボート
express	表現する
secure	安全な
career	経歴
narrow	狭い
cook	料理する
minute	分
advance	進む
mistake	間違い
combination	組み合わせ
beside	〜のそばに
responsible	責任がある
tissue	組織
majority	大多数
garden	庭
passage	通路
sin	罪
